,name,rating,review_date,reviewer,neighborhood,cuisine,review_link_1,review_link_2
98,Flora Bar,2 star,"Jan. 10, 2017",Pete Wells,Upper East Side,"American, Japanese, Spanish",https://www.nytimes.com/2017/01/10/dining/flora-bar-review.html,https://www.nytimes.com/2017/01/10/dining/flora-bar-review.html?rref=collection%2Fcollection%2Frestaurant-guide
99,The Odeon,1 star,"Dec. 27, 2016",Pete Wells,TriBeCa,American,https://www.nytimes.com/2016/12/27/dining/the-odeon-review.html,https://www.nytimes.com/2016/12/27/dining/the-odeon-review.html?rref=collection%2Fcollection%2Frestaurant-guide
100,Cut by Wolfgang Puck,1 star,"Dec. 20, 2016",Pete Wells,Financial District,"American, Steak Houses",https://www.nytimes.com/2016/12/20/dining/cut-by-wolfgang-puck-review.html,https://www.nytimes.com/2016/12/20/dining/cut-by-wolfgang-puck-review.html?rref=collection%2Fcollection%2Frestaurant-guide
101,Aska,3 star,"Dec. 6, 2016",Pete Wells,Williamsburg,Scandinavian,https://www.nytimes.com/2016/12/06/dining/aska-review-brooklyn.html,https://www.nytimes.com/2016/12/06/dining/aska-review-brooklyn.html?rref=collection%2Fcollection%2Frestaurant-guide
102,Bad Saint,3 star,"Nov. 29, 2016",Pete Wells,Washington D.C.,Philippine,https://www.nytimes.com/2016/11/29/dining/bad-saint-dc-review.html,https://www.nytimes.com/2016/11/29/dining/bad-saint-dc-review.html?rref=collection%2Fcollection%2Frestaurant-guide
103,Fish Cheeks,1 star,"Nov. 22, 2016",Pete Wells,NoHo,Thai,https://www.nytimes.com/2016/11/22/dining/fish-cheeks-review-restaurant-noho.html,https://www.nytimes.com/2016/11/22/dining/fish-cheeks-review-restaurant-noho.html?rref=collection%2Fcollection%2Frestaurant-guide
104,TsuruTonTan Udon Noodle Brasserie,1 star,"Nov. 15, 2016",Pete Wells,Union Square,Japanese,https://www.nytimes.com/2016/11/16/dining/tsurutontan-udon-noodle-brasserie-restaurant-review.html,https://www.nytimes.com/2016/11/16/dining/tsurutontan-udon-noodle-brasserie-restaurant-review.html?rref=collection%2Fcollection%2Frestaurant-guide
105,Paowalla,2 star,"Nov. 8, 2016",Pete Wells,SoHo,Indian,https://www.nytimes.com/2016/11/09/dining/paowalla-review.html,https://www.nytimes.com/2016/11/09/dining/paowalla-review.html?rref=collection%2Fcollection%2Frestaurant-guide
106,Le Coucou,3 star,"Nov. 1, 2016",Pete Wells,SoHo,French,https://www.nytimes.com/2016/11/02/dining/le-coucou-review.html,https://www.nytimes.com/2016/11/02/dining/le-coucou-review.html?rref=collection%2Fcollection%2Frestaurant-guide
107,The Beatrice Inn,2 star,"Oct. 25, 2016",Pete Wells,West Village,"American, French",https://www.nytimes.com/2016/10/26/dining/beatrice-inn-review.html,https://www.nytimes.com/2016/10/26/dining/beatrice-inn-review.html?rref=collection%2Fcollection%2Frestaurant-guide
108,Karasu,1 star,"Oct. 18, 2016",Pete Wells,Fort Greene,Japanese,https://www.nytimes.com/2016/10/19/dining/karasu-zadies-oyster-room-review.html,https://www.nytimes.com/2016/10/19/dining/karasu-zadies-oyster-room-review.html?rref=collection%2Fcollection%2Frestaurant-guide
109,Zadie's Oyster Room,1 star,"Oct. 18, 2016",Pete Wells,East Village,American,https://www.nytimes.com/2016/10/19/dining/karasu-zadies-oyster-room-review.html,https://www.nytimes.com/2016/10/19/dining/karasu-zadies-oyster-room-review.html?rref=collection%2Fcollection%2Frestaurant-guide
110,Pondicheri,2 star,"Oct. 11, 2016",Pete Wells,NoMad,Indian,https://www.nytimes.com/2016/10/12/dining/pondicheri-restaurant-review.html,https://www.nytimes.com/2016/10/12/dining/pondicheri-restaurant-review.html?rref=collection%2Fcollection%2Frestaurant-guide
111,Sauvage,1 star,"Sept. 27, 2016",Pete Wells,Greenpoint,"American, French",https://www.nytimes.com/2016/09/28/dining/sauvage-restaurant-review.html,https://www.nytimes.com/2016/09/28/dining/sauvage-restaurant-review.html?rref=collection%2Fcollection%2Frestaurant-guide
112,Günter Seeger NY,2 star,"Sept. 20, 2016",Pete Wells,West Village,American,https://www.nytimes.com/2016/09/21/dining/gunter-seeger-ny-review.html,https://www.nytimes.com/2016/09/21/dining/gunter-seeger-ny-review.html?rref=collection%2Fcollection%2Frestaurant-guide
113,Hao Noodle and Tea by Madam Zhu’s Kitchen,2 star,"Sept. 13, 2016",Pete Wells,Greenwich Village,Chinese,https://www.nytimes.com/2016/09/14/dining/hao-noodle-and-tea-by-madam-zhus-kitchen-review.html,https://www.nytimes.com/2016/09/14/dining/hao-noodle-and-tea-by-madam-zhus-kitchen-review.html?rref=collection%2Fcollection%2Frestaurant-guide
114,Cassia,3 star,"Sept. 6, 2016",Pete Wells,"Santa Monica, Calif.","Asian, Vietnamese",https://www.nytimes.com/2016/09/07/dining/cassia-santa-monica-restaurant-review-pete-wells.html,https://www.nytimes.com/2016/09/07/dining/cassia-santa-monica-restaurant-review-pete-wells.html?rref=collection%2Fcollection%2Frestaurant-guide
115,Gramercy Tavern,3 star,"Aug. 16, 2016",Pete Wells,Flatiron,American,https://www.nytimes.com/2016/08/17/dining/gramercy-tavern-review.html,https://www.nytimes.com/2016/08/17/dining/gramercy-tavern-review.html?rref=collection%2Fcollection%2Frestaurant-guide
116,Olmsted,2 star,"Aug. 9, 2016",Pete Wells,Prospect Heights,American,https://www.nytimes.com/2016/08/10/dining/olmsted-restaurant-review.html,https://www.nytimes.com/2016/08/10/dining/olmsted-restaurant-review.html?rref=collection%2Fcollection%2Frestaurant-guide
117,Agern,3 star,"Aug. 2, 2016",Pete Wells,Midtown East,Scandinavian,https://www.nytimes.com/2016/08/03/dining/agern-restaurant-review.html,https://www.nytimes.com/2016/08/03/dining/agern-restaurant-review.html?rref=collection%2Fcollection%2Frestaurant-guide
118,Pasquale Jones,2 star,"July 26, 2016",Pete Wells,Little Italy,"American, Italian",https://www.nytimes.com/2016/07/27/dining/pasquale-jones-review-little-italy.html,https://www.nytimes.com/2016/07/27/dining/pasquale-jones-review-little-italy.html?rref=collection%2Fcollection%2Frestaurant-guide
119,Mimi,1 star,"July 12, 2016",Pete Wells,Greenwich Village,"American, French",https://www.nytimes.com/2016/07/13/dining/mimi-restaurant-review.html,https://www.nytimes.com/2016/07/13/dining/mimi-restaurant-review.html?rref=collection%2Fcollection%2Frestaurant-guide
120,Nix,2 star,"July 5, 2016",Pete Wells,Greenwich Village,Vegetarian,https://www.nytimes.com/2016/07/06/dining/nix-restaurant-review-greenwich-village.html,https://www.nytimes.com/2016/07/06/dining/nix-restaurant-review-greenwich-village.html?rref=collection%2Fcollection%2Frestaurant-guide
121,Freek’s Mill,2 star,"June 28, 2016",Pete Wells,Gowanus,American,https://www.nytimes.com/2016/06/29/dining/freeks-mill-review.html,https://www.nytimes.com/2016/06/29/dining/freeks-mill-review.html?rref=collection%2Fcollection%2Frestaurant-guide
122,Le Coq Rico,2 star,"June 14, 2016",Pete Wells,Flatiron,French,https://www.nytimes.com/2016/06/15/dining/le-coq-rico-review.html,https://www.nytimes.com/2016/06/15/dining/le-coq-rico-review.html?rref=collection%2Fcollection%2Frestaurant-guide
123,La Sirena,2 star,"June 7, 2016",Pete Wells,Chelsea,Italian,https://www.nytimes.com/2016/06/08/dining/la-sirena-restaurant-review.html,https://www.nytimes.com/2016/06/08/dining/la-sirena-restaurant-review.html?rref=collection%2Fcollection%2Frestaurant-guide
124,Ruffian Wine Bar & Chef’s Table,1 star,"May 31, 2016",Pete Wells,East Village,"French, Wine Bars",https://www.nytimes.com/2016/06/01/dining/mr-donahues-ruffian-wine-bar-restaurant-review.html,https://www.nytimes.com/2016/06/01/dining/mr-donahues-ruffian-wine-bar-restaurant-review.html?rref=collection%2Fcollection%2Frestaurant-guide
125,Indian Accent,2 star,"May 24, 2016",Pete Wells,Midtown,Indian,https://www.nytimes.com/2016/05/25/dining/indian-accent-restaurant-review.html,https://www.nytimes.com/2016/05/25/dining/indian-accent-restaurant-review.html?rref=collection%2Fcollection%2Frestaurant-guide
126,Momofuku Nishi,1 star,"May 17, 2016",Pete Wells,Chelsea,"American, Italian, Korean",https://www.nytimes.com/2016/05/18/dining/momofuku-nishi-review.html,https://www.nytimes.com/2016/05/18/dining/momofuku-nishi-review.html?rref=collection%2Fcollection%2Frestaurant-guide
127,Café Altro Paradiso,2 star,"May 10, 2016",Pete Wells,SoHo,Italian,https://www.nytimes.com/2016/05/11/dining/cafe-altro-paradiso-review.html,https://www.nytimes.com/2016/05/11/dining/cafe-altro-paradiso-review.html?rref=collection%2Fcollection%2Frestaurant-guide
128,Chaiwali,1 star,"April 26, 2016",Pete Wells,Harlem,Indian,https://www.nytimes.com/2016/04/27/dining/chaiwali-review-indian-food-harlem.html,https://www.nytimes.com/2016/04/27/dining/chaiwali-review-indian-food-harlem.html?rref=collection%2Fcollection%2Frestaurant-guide
129,The Spotted Pig,1 star,"April 19, 2016",Pete Wells,West Village,"English, Italian",https://www.nytimes.com/2016/04/20/dining/salvation-burger-spotted-pig-review.html,https://www.nytimes.com/2016/04/20/dining/salvation-burger-spotted-pig-review.html?rref=collection%2Fcollection%2Frestaurant-guide
130,I Sodi,2 star,"April 12, 2016",Pete Wells,West Village,Italian,https://www.nytimes.com/2016/04/13/dining/i-sodi-restaurant-review.html,https://www.nytimes.com/2016/04/13/dining/i-sodi-restaurant-review.html?rref=collection%2Fcollection%2Frestaurant-guide
131,Lilia,3 star,"March 29, 2016",Pete Wells,Williamsburg,Italian,https://www.nytimes.com/2016/03/30/dining/lilia-restaurant-review.html,https://www.nytimes.com/2016/03/30/dining/lilia-restaurant-review.html?rref=collection%2Fcollection%2Frestaurant-guide
132,Insa,2 star,"March 15, 2016",Pete Wells,Gowanus,Korean,https://www.nytimes.com/2016/03/16/dining/insa-restaurant-review.html,https://www.nytimes.com/2016/03/16/dining/insa-restaurant-review.html?rref=collection%2Fcollection%2Frestaurant-guide
133,High Street on Hudson,2 star,"March 8, 2016",Pete Wells,West Village,American,https://www.nytimes.com/2016/03/09/dining/high-street-on-hudson-review.html,https://www.nytimes.com/2016/03/09/dining/high-street-on-hudson-review.html?rref=collection%2Fcollection%2Frestaurant-guide
134,Little Pepper,2 star,"Feb. 23, 2016",Pete Wells,College Point,Chinese,https://www.nytimes.com/2016/02/24/dining/little-pepper-review.html,https://www.nytimes.com/2016/02/24/dining/little-pepper-review.html?rref=collection%2Fcollection%2Frestaurant-guide
135,Pizza Moto @ John Grace Bakery,1 star,"Feb. 16, 2016",Pete Wells,Red Hook,Pizza,https://www.nytimes.com/2016/02/17/dining/pizza-moto-review.html,https://www.nytimes.com/2016/02/17/dining/pizza-moto-review.html?rref=collection%2Fcollection%2Frestaurant-guide
136,Llama Inn,2 star,"Feb. 9, 2016",Pete Wells,Williamsburg,Latin American,https://www.nytimes.com/2016/02/10/dining/llama-inn-review.html,https://www.nytimes.com/2016/02/10/dining/llama-inn-review.html?rref=collection%2Fcollection%2Frestaurant-guide
137,Benoit,2 star,"Feb. 2, 2016",Pete Wells,Midtown,French,https://www.nytimes.com/2016/02/03/dining/benoit-review.html,https://www.nytimes.com/2016/02/03/dining/benoit-review.html?rref=collection%2Fcollection%2Frestaurant-guide
138,Achilles Heel,1 star,"Jan. 26, 2016",Pete Wells,Greenpoint,American,https://www.nytimes.com/2016/01/27/dining/achilles-heel-resto-review.html,https://www.nytimes.com/2016/01/27/dining/achilles-heel-resto-review.html?rref=collection%2Fcollection%2Frestaurant-guide
139,Per Se,2 star,"Jan. 12, 2016",Pete Wells,Upper West Side,"American, French",https://www.nytimes.com/2016/01/13/dining/pete-wells-per-se-review.html,https://www.nytimes.com/2016/01/13/dining/pete-wells-per-se-review.html?rref=collection%2Fcollection%2Frestaurant-guide
140,Sadelle’s,1 star,"Jan. 5, 2016",Pete Wells,SoHo,"Eastern European, Russian",https://www.nytimes.com/2016/01/06/dining/sadelles-review.html,https://www.nytimes.com/2016/01/06/dining/sadelles-review.html?rref=collection%2Fcollection%2Frestaurant-guide
141,L’Amico,1 star,"Dec. 8, 2015",Pete Wells,Chelsea,Italian,https://www.nytimes.com/2015/12/09/dining/sessanta-lamico-review.html,https://www.nytimes.com/2015/12/09/dining/sessanta-lamico-review.html?rref=collection%2Fcollection%2Frestaurant-guide
142,Sessanta,1 star,"Dec. 8, 2015",Pete Wells,SoHo,Italian,https://www.nytimes.com/2015/12/09/dining/sessanta-lamico-review.html,https://www.nytimes.com/2015/12/09/dining/sessanta-lamico-review.html?rref=collection%2Fcollection%2Frestaurant-guide
143,Vaucluse,1 star,"Dec. 1, 2015",Pete Wells,Upper East Side,French,https://www.nytimes.com/2015/12/02/dining/vaucluse-review.html,https://www.nytimes.com/2015/12/02/dining/vaucluse-review.html?rref=collection%2Fcollection%2Frestaurant-guide
144,Tempura Matsui,2 star,"Nov. 17, 2015",Pete Wells,Murray Hill,Japanese,https://www.nytimes.com/2015/11/18/dining/tempura-matsui-murray-hill-review.html,https://www.nytimes.com/2015/11/18/dining/tempura-matsui-murray-hill-review.html?rref=collection%2Fcollection%2Frestaurant-guide
145,Jams,0.75 star,"Nov. 10, 2015",Pete Wells,Midtown,American,https://www.nytimes.com/2015/11/11/dining/jams-jonathan-waxman-review.html,https://www.nytimes.com/2015/11/11/dining/jams-jonathan-waxman-review.html?rref=collection%2Fcollection%2Frestaurant-guide
146,Chomp Chomp,2 star,"Nov. 3, 2015",Pete Wells,West Village,"Asian, Chinese",https://www.nytimes.com/2015/11/04/dining/chomp-chomp-review.html,https://www.nytimes.com/2015/11/04/dining/chomp-chomp-review.html?rref=collection%2Fcollection%2Frestaurant-guide
147,O Ya,1 star,"Oct. 27, 2015",Pete Wells,Kips Bay,"American, Japanese",https://www.nytimes.com/2015/10/28/dining/o-ya-review.html,https://www.nytimes.com/2015/10/28/dining/o-ya-review.html?rref=collection%2Fcollection%2Frestaurant-guide
148,Bruno Pizza,0.75 star,"Oct. 20, 2015",Pete Wells,East Village,"Italian, Pizza",https://www.nytimes.com/2015/10/21/dining/restaurant-review-bruno-east-village.html,https://www.nytimes.com/2015/10/21/dining/restaurant-review-bruno-east-village.html?rref=collection%2Fcollection%2Frestaurant-guide
149,Momofuku Ko,3 star,"Oct. 13, 2015",Pete Wells,East Village,"Asian, French",https://www.nytimes.com/2015/10/14/dining/restaurant-review-momofuku-ko-east-village.html,https://www.nytimes.com/2015/10/14/dining/restaurant-review-momofuku-ko-east-village.html?rref=collection%2Fcollection%2Frestaurant-guide
150,Wildair,2 star,"Oct. 6, 2015",Pete Wells,Lower East Side,American,https://www.nytimes.com/2015/10/07/dining/restaurant-review-wildair-on-the-lower-east-side.html,https://www.nytimes.com/2015/10/07/dining/restaurant-review-wildair-on-the-lower-east-side.html?rref=collection%2Fcollection%2Frestaurant-guide
151,Houseman,2 star,"Sept. 29, 2015",Pete Wells,Hudson Square,American,https://www.nytimes.com/2015/09/30/dining/restaurant-review-houseman-in-hudson-square.html,https://www.nytimes.com/2015/09/30/dining/restaurant-review-houseman-in-hudson-square.html?rref=collection%2Fcollection%2Frestaurant-guide
152,Gabriel Kreuther,3 star,"Sept. 22, 2015",Pete Wells,Midtown,French,https://www.nytimes.com/2015/09/23/dining/restaurant-review-gabriel-kreuther-in-midtown.html,https://www.nytimes.com/2015/09/23/dining/restaurant-review-gabriel-kreuther-in-midtown.html?rref=collection%2Fcollection%2Frestaurant-guide
153,Casa Mono,3 star,"Sept. 15, 2015",Pete Wells,Gramercy Park,Spanish,https://www.nytimes.com/2015/09/16/dining/restaurant-review-casa-mono-gramercy.html,https://www.nytimes.com/2015/09/16/dining/restaurant-review-casa-mono-gramercy.html?rref=collection%2Fcollection%2Frestaurant-guide
154,Superiority Burger,2 star,"Sept. 1, 2015",Pete Wells,East Village,Vegan,https://www.nytimes.com/2015/09/02/dining/restaurant-review-superiority-burger-in-the-east-village.html,https://www.nytimes.com/2015/09/02/dining/restaurant-review-superiority-burger-in-the-east-village.html?rref=collection%2Fcollection%2Frestaurant-guide
155,The Clocktower,2 star,"Aug. 25, 2015",Pete Wells,Midtown South,"English, French",https://www.nytimes.com/2015/08/26/dining/restaurant-review-the-clocktower-in-midtown-south.html,https://www.nytimes.com/2015/08/26/dining/restaurant-review-the-clocktower-in-midtown-south.html?rref=collection%2Fcollection%2Frestaurant-guide
156,Oiji,2 star,"Aug. 18, 2015",Pete Wells,East Village,Korean,https://www.nytimes.com/2015/08/19/dining/restaurant-review-oiji-in-the-east-village.html,https://www.nytimes.com/2015/08/19/dining/restaurant-review-oiji-in-the-east-village.html?rref=collection%2Fcollection%2Frestaurant-guide
157,Untitled,2 star,"Aug. 4, 2015",Pete Wells,Meatpacking District,American,https://www.nytimes.com/2015/08/05/dining/restaurant-review-untitled-at-the-whitney-in-the-meatpacking-district.html,https://www.nytimes.com/2015/08/05/dining/restaurant-review-untitled-at-the-whitney-in-the-meatpacking-district.html?rref=collection%2Fcollection%2Frestaurant-guide
158,Noreetuh,1 star,"June 23, 2015",Pete Wells,East Village,American,https://www.nytimes.com/2015/06/24/dining/restaurant-reviews-noreetuh-the-eddy-in-the-east-village.html,https://www.nytimes.com/2015/06/24/dining/restaurant-reviews-noreetuh-the-eddy-in-the-east-village.html?rref=collection%2Fcollection%2Frestaurant-guide
159,The Eddy,1 star,"June 23, 2015",Pete Wells,East Village,American,https://www.nytimes.com/2015/06/24/dining/restaurant-reviews-noreetuh-the-eddy-in-the-east-village.html,https://www.nytimes.com/2015/06/24/dining/restaurant-reviews-noreetuh-the-eddy-in-the-east-village.html?rref=collection%2Fcollection%2Frestaurant-guide
160,Blanca,3 star,"June 16, 2015",Pete Wells,Bushwick,American,https://www.nytimes.com/2015/06/17/dining/restaurant-review-blanca-in-bushwick-brooklyn.html,https://www.nytimes.com/2015/06/17/dining/restaurant-review-blanca-in-bushwick-brooklyn.html?rref=collection%2Fcollection%2Frestaurant-guide
161,Mission Chinese Food,2 star,"June 9, 2015",Pete Wells,Lower East Side,"American, Chinese",https://www.nytimes.com/2015/06/10/dining/restaurant-review-mission-chinese-food-on-the-lower-east-side.html,https://www.nytimes.com/2015/06/10/dining/restaurant-review-mission-chinese-food-on-the-lower-east-side.html?rref=collection%2Fcollection%2Frestaurant-guide
162,Aquavit,3 star,"May 26, 2015",Pete Wells,Midtown East,Scandinavian,https://www.nytimes.com/2015/05/27/dining/restaurant-review-aquavit-in-midtown.html,https://www.nytimes.com/2015/05/27/dining/restaurant-review-aquavit-in-midtown.html?rref=collection%2Fcollection%2Frestaurant-guide
163,Javelina,0.5 star,"May 19, 2015",Pete Wells,Gramercy Park,Tex-Mex,https://www.nytimes.com/2015/05/20/dining/restaurant-review-javelina-in-gramercy-park.html,https://www.nytimes.com/2015/05/20/dining/restaurant-review-javelina-in-gramercy-park.html?rref=collection%2Fcollection%2Frestaurant-guide
164,Mu Ramen,2 star,"May 5, 2015",Pete Wells,Long Island City,"American, Japanese",https://www.nytimes.com/2015/05/06/dining/restaurant-review-mu-ramen-in-long-island-city-queens.html,https://www.nytimes.com/2015/05/06/dining/restaurant-review-mu-ramen-in-long-island-city-queens.html?rref=collection%2Fcollection%2Frestaurant-guide
165,Minton’s,1 star,"April 28, 2015",Pete Wells,Harlem,"American, Southern",https://www.nytimes.com/2015/04/29/dining/restaurant-review-mintons-in-harlem.html,https://www.nytimes.com/2015/04/29/dining/restaurant-review-mintons-in-harlem.html?rref=collection%2Fcollection%2Frestaurant-guide
166,Santina,2 star,"April 21, 2015",Pete Wells,Meatpacking District,Italian,https://www.nytimes.com/2015/04/22/dining/restaurant-review-santina-in-the-meatpacking-district.html,https://www.nytimes.com/2015/04/22/dining/restaurant-review-santina-in-the-meatpacking-district.html?rref=collection%2Fcollection%2Frestaurant-guide
167,Estiatorio Milos,1 star,"April 7, 2015",Pete Wells,Midtown,Greek,https://www.nytimes.com/2015/04/08/dining/restaurant-reviews-limani-and-estiatorio-milos-in-midtown.html,https://www.nytimes.com/2015/04/08/dining/restaurant-reviews-limani-and-estiatorio-milos-in-midtown.html?rref=collection%2Fcollection%2Frestaurant-guide
168,Limani,1 star,"April 7, 2015",Pete Wells,Midtown,"Greek, Seafood",https://www.nytimes.com/2015/04/08/dining/restaurant-reviews-limani-and-estiatorio-milos-in-midtown.html,https://www.nytimes.com/2015/04/08/dining/restaurant-reviews-limani-and-estiatorio-milos-in-midtown.html?rref=collection%2Fcollection%2Frestaurant-guide
169,Little Park,2 star,"March 24, 2015",Pete Wells,TriBeCa,American,https://www.nytimes.com/2015/03/25/dining/restaurant-review-little-park-in-tribeca.html,https://www.nytimes.com/2015/03/25/dining/restaurant-review-little-park-in-tribeca.html?rref=collection%2Fcollection%2Frestaurant-guide
170,Eleven Madison Park,4 star,"March 17, 2015",Pete Wells,Midtown South,New American,https://www.nytimes.com/2015/03/18/dining/restaurant-review-eleven-madison-park-in-midtown-south.html,https://www.nytimes.com/2015/03/18/dining/restaurant-review-eleven-madison-park-in-midtown-south.html?rref=collection%2Fcollection%2Frestaurant-guide
171,Bowery Meat Company,2 star,"March 10, 2015",Pete Wells,East Village,"American, Steak Houses",https://www.nytimes.com/2015/03/11/dining/restaurant-review-bowery-meat-company-in-the-east-village.html,https://www.nytimes.com/2015/03/11/dining/restaurant-review-bowery-meat-company-in-the-east-village.html?rref=collection%2Fcollection%2Frestaurant-guide
172,Via Carota,2 star,"March 3, 2015",Pete Wells,West Village,Italian,https://www.nytimes.com/2015/03/04/dining/restaurant-review-via-carota-in-the-west-village.html,https://www.nytimes.com/2015/03/04/dining/restaurant-review-via-carota-in-the-west-village.html?rref=collection%2Fcollection%2Frestaurant-guide
173,Shuko,3 star,"Feb. 17, 2015",Pete Wells,Greenwich Village,Japanese,https://www.nytimes.com/2015/02/18/dining/restaurant-review-shuko-in-the-east-village.html,https://www.nytimes.com/2015/02/18/dining/restaurant-review-shuko-in-the-east-village.html?rref=collection%2Fcollection%2Frestaurant-guide
174,Cosme,3 star,"Feb. 3, 2015",Pete Wells,Flatiron,Modernist,https://www.nytimes.com/2015/02/04/dining/restaurant-review-cosme-in-the-flatiron-district.html,https://www.nytimes.com/2015/02/04/dining/restaurant-review-cosme-in-the-flatiron-district.html?rref=collection%2Fcollection%2Frestaurant-guide
175,Blue Smoke,1 star,"Jan. 27, 2015",Pete Wells,Kips Bay,Barbecue,https://www.nytimes.com/2015/01/28/dining/restaurant-review-blue-smoke-and-north-end-grill.html,https://www.nytimes.com/2015/01/28/dining/restaurant-review-blue-smoke-and-north-end-grill.html?rref=collection%2Fcollection%2Frestaurant-guide
176,Upland,2 star,"Jan. 13, 2015",Pete Wells,Kips Bay,American,https://www.nytimes.com/2015/01/14/dining/restaurant-review-upland-on-park-avenue-south.html,https://www.nytimes.com/2015/01/14/dining/restaurant-review-upland-on-park-avenue-south.html?rref=collection%2Fcollection%2Frestaurant-guide
177,Kappo Masa,0.75 star,"Jan. 6, 2015",Pete Wells,Upper East Side,Japanese,https://www.nytimes.com/2015/01/07/dining/restaurant-review-kappo-masa-on-the-upper-east-side.html,https://www.nytimes.com/2015/01/07/dining/restaurant-review-kappo-masa-on-the-upper-east-side.html?rref=collection%2Fcollection%2Frestaurant-guide
178,Dirty French,2 star,"Dec. 9, 2014",Pete Wells,Lower East Side,French,https://www.nytimes.com/2014/12/10/dining/restaurant-review-dirty-french-on-the-lower-east-side.html,https://www.nytimes.com/2014/12/10/dining/restaurant-review-dirty-french-on-the-lower-east-side.html?rref=collection%2Fcollection%2Frestaurant-guide
179,Marta,2 star,"Dec. 2, 2014",Pete Wells,Midtown South,"Italian, Pizza",https://www.nytimes.com/2014/12/03/dining/restaurant-review-danny-meyers-marta-in-nomad.html,https://www.nytimes.com/2014/12/03/dining/restaurant-review-danny-meyers-marta-in-nomad.html?rref=collection%2Fcollection%2Frestaurant-guide
180,Bar Bolonat,2 star,"Nov. 25, 2014",Pete Wells,West Village,Middle Eastern,https://www.nytimes.com/2014/11/26/dining/restaurant-review-bar-bolonat-in-the-west-village.html,https://www.nytimes.com/2014/11/26/dining/restaurant-review-bar-bolonat-in-the-west-village.html?rref=collection%2Fcollection%2Frestaurant-guide
181,Dumpling Galaxy,1 star,"Nov. 11, 2014",Pete Wells,Flushing,Chinese,https://www.nytimes.com/2014/11/12/dining/restaurant-review-dumpling-galaxy-in-queens.html,https://www.nytimes.com/2014/11/12/dining/restaurant-review-dumpling-galaxy-in-queens.html?rref=collection%2Fcollection%2Frestaurant-guide
182,Tuome,2 star,"Nov. 4, 2014",Pete Wells,East Village,American,https://www.nytimes.com/2014/11/05/dining/restaurant-review-tuome-in-the-east-village.html,https://www.nytimes.com/2014/11/05/dining/restaurant-review-tuome-in-the-east-village.html?rref=collection%2Fcollection%2Frestaurant-guide
183,Blue Hill,3 star,"Oct. 28, 2014",Pete Wells,Greenwich Village,New American,https://www.nytimes.com/2014/10/29/dining/restaurant-review-blue-hill-in-greenwich-village.html,https://www.nytimes.com/2014/10/29/dining/restaurant-review-blue-hill-in-greenwich-village.html?rref=collection%2Fcollection%2Frestaurant-guide
184,Blenheim,1 star,"Oct. 21, 2014",Pete Wells,West Village,Modernist,https://www.nytimes.com/2014/10/22/dining/restaurant-review-blenheim-in-the-west-village.html,https://www.nytimes.com/2014/10/22/dining/restaurant-review-blenheim-in-the-west-village.html?rref=collection%2Fcollection%2Frestaurant-guide
185,Huertas,2 star,"Oct. 7, 2014",Pete Wells,East Village,Spanish,https://www.nytimes.com/2014/10/08/dining/restaurant-review-huertas-in-the-east-village.html,https://www.nytimes.com/2014/10/08/dining/restaurant-review-huertas-in-the-east-village.html?rref=collection%2Fcollection%2Frestaurant-guide
186,Sammy's Roumanian Steakhouse,1 star,"Sept. 23, 2014",Pete Wells,Lower East Side,Steak Houses,https://www.nytimes.com/2014/09/24/dining/restaurant-review-sammys-roumanian-steakhouse-on-the-lower-east-side.html,https://www.nytimes.com/2014/09/24/dining/restaurant-review-sammys-roumanian-steakhouse-on-the-lower-east-side.html?rref=collection%2Fcollection%2Frestaurant-guide
187,Claudette,1 star,"Sept. 16, 2014",Pete Wells,Greenwich Village,French,https://www.nytimes.com/2014/09/17/dining/restaurant-review-claudette-in-greenwich-village.html,https://www.nytimes.com/2014/09/17/dining/restaurant-review-claudette-in-greenwich-village.html?rref=collection%2Fcollection%2Frestaurant-guide
188,Barchetta,1 star,"Sept. 9, 2014",Pete Wells,Chelsea,"Italian, Seafood",https://www.nytimes.com/2014/09/10/dining/restaurant-review-barchetta-in-chelsea.html,https://www.nytimes.com/2014/09/10/dining/restaurant-review-barchetta-in-chelsea.html?rref=collection%2Fcollection%2Frestaurant-guide
189,Bar Primi,2 star,"Sept. 2, 2014",Pete Wells,East Village,Italian,https://www.nytimes.com/2014/09/03/dining/restaurant-review-bar-primi-in-the-east-village.html,https://www.nytimes.com/2014/09/03/dining/restaurant-review-bar-primi-in-the-east-village.html?rref=collection%2Fcollection%2Frestaurant-guide
190,Bâtard,3 star,"Aug. 26, 2014",Pete Wells,TriBeCa,Modernist,https://www.nytimes.com/2014/08/27/dining/restaurant-review-batard-in-tribeca.html,https://www.nytimes.com/2014/08/27/dining/restaurant-review-batard-in-tribeca.html?rref=collection%2Fcollection%2Frestaurant-guide
191,Ivan Ramen,2 star,"Aug. 5, 2014",Pete Wells,Lower East Side,"American, Japanese",https://www.nytimes.com/2014/08/06/dining/restaurant-review-ivan-ramen.html,https://www.nytimes.com/2014/08/06/dining/restaurant-review-ivan-ramen.html?rref=collection%2Fcollection%2Frestaurant-guide
